#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       9.210339580941e-01       1.071358512979e-03      -4.132933477220e+04      -4.153734259878e+04       1.094867135579e-03      -4.149276889011e+04       2.600369041203e-03       2.600369041203e-03 
       1.076754679236e+00       8.302409171650e-04      -4.378129544009e+04      -4.400165084006e+04       8.484617125186e-04      -4.395443160182e+04       2.015500861756e-03       2.015500861756e-03 
       1.324796747551e+00       5.896889496303e-04      -4.707514294292e+04      -4.731213532849e+04       6.026309985356e-04      -4.726135447696e+04       1.431599416144e-03       1.431599416144e-03 
       1.664980578821e+00       4.026043697619e-04      -5.075216043481e+04      -5.100782697295e+04       4.114383405550e-04      -5.095305439125e+04       9.771601202841e-04       9.771601202841e-04 
       2.096031853693e+00       2.728018078349e-04      -5.449878923290e+04      -5.477364973259e+04       2.787874590485e-04      -5.471478404796e+04       6.620987801214e-04       6.620987801214e-04 
       2.638747559173e+00       1.840805549306e-04      -5.828114767363e+04      -5.857567051041e+04       1.881193662260e-04      -5.851262841083e+04       4.467533040905e-04       4.467533040905e-04 
       3.321986357444e+00       1.237586227251e-04      -6.209263899876e+04      -6.240745108891e+04       1.264736202690e-04      -6.234012662230e+04       3.003211000322e-04       3.003211000322e-04 
       4.182133043020e+00       8.291962727885e-05      -6.592903307748e+04      -6.626505201958e+04       8.473852503924e-05      -6.619329538389e+04       2.012019422765e-04       2.012019422765e-04 
       5.264993563361e+00       5.538772081073e-05      -6.978550310760e+04      -7.014415501415e+04       5.660250781397e-05      -7.006773893164e+04       1.343805046877e-04       1.343805046877e-04 
       6.628234189848e+00       3.688192446193e-05      -7.365809641645e+04      -7.404165444764e+04       3.769091904427e-05      -7.396022137052e+04       8.949862612392e-05       8.949862612392e-05 
       8.344452456923e+00       2.449980744942e-05      -7.754106194033e+04      -7.795321106375e+04       2.503715236500e-05      -7.786618606968e+04       5.945208213425e-05       5.945208213425e-05 
       1.050504324553e+01       1.623677127456e-05      -8.142945516750e+04      -8.187624522243e+04       1.659281204328e-05      -8.178268787676e+04       3.939848718377e-05       3.939848718377e-05 
