#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                
       2.128612350460e-01       9.586631339228e-03      -1.990523104454e+04      -2.000469507106e+04       9.798517561531e-03      -8.971820012747e+02      -2.597111113353e+02      -1.976866305701e+04       2.345618406876e-02       2.345618406849e-02 
       2.199796672733e-01       9.078447340749e-03      -2.012155875207e+04      -2.023141459613e+04       9.279073435509e-03      -8.580027977755e+02      -2.469748051799e+02      -1.999086134675e+04       2.220954397665e-02       2.220954397641e-02 
       2.273364585052e-01       8.616173528402e-03      -2.038848605185e+04      -2.050581080153e+04       8.806561534394e-03      -8.220934991724e+02      -2.353335976632e+02      -2.026066800142e+04       2.107602935574e-02       2.107602935552e-02 
       2.349399743317e-01       8.219986607572e-03      -2.077200720074e+04      -2.089131838698e+04       8.401601021523e-03      -7.914847623106e+02      -2.253708776227e+02      -2.064120261346e+04       2.010455094212e-02       2.010455094193e-02 
       2.427991246865e-01       7.885146064981e-03      -2.128473713479e+04      -2.140074194297e+04       8.059347236754e-03      -7.659866145693e+02      -2.169787998748e+02      -2.114509266403e+04       1.928362034207e-02       1.928362034190e-02 
       2.509234696785e-01       7.583945145225e-03      -2.187035154763e+04      -2.198086622917e+04       7.751479636904e-03      -7.430407730585e+02      -2.094190532285e+02      -2.171923262142e+04       1.854535370892e-02       1.854535370877e-02 
       2.593233419778e-01       7.280907733522e-03      -2.242912019874e+04      -2.253641847855e+04       7.441735131015e-03      -7.192251370733e+02      -2.017138390500e+02      -2.226872589047e+04       1.780267901245e-02       1.780267901231e-02 
       2.680099884894e-01       6.953551164301e-03      -2.287781018919e+04      -2.298730898501e+04       7.107133527707e-03      -6.923388029596e+02      -1.932469713925e+02      -2.271389730298e+04       1.700054752291e-02       1.700054752279e-02 
       2.769957348048e-01       6.604762473377e-03      -2.320511344155e+04      -2.332188751806e+04       6.750627691421e-03      -6.626427799900e+02      -1.841180361509e+02      -2.304328441057e+04       1.614624085876e-02       1.614624085864e-02 
       2.862941769258e-01       6.259744806492e-03      -2.348631295756e+04      -2.361163018508e+04       6.397977411628e-03      -6.326290026518e+02      -1.750014499968e+02      -2.332815120198e+04       1.530130604077e-02       1.530130604067e-02 
