delta_long   k_long[1/Mpc]   delta_crit 
0.000000e+00   1.028031e-01   1.659996e+00 
0.000000e+00   1.097978e-01   1.659996e+00 
0.000000e+00   1.134703e-01   1.659996e+00 
0.000000e+00   1.172652e-01   1.659996e+00 
0.000000e+00   1.252394e-01   1.659996e+00 
0.000000e+00   1.294275e-01   1.659996e+00 
0.000000e+00   1.382286e-01   1.659996e+00 
0.000000e+00   1.428512e-01   1.659996e+00 
0.000000e+00   1.476284e-01   1.659996e+00 
0.000000e+00   1.576682e-01   1.659996e+00 
0.000000e+00   1.629425e-01   1.659996e+00 
0.000000e+00   1.740319e-01   1.659996e+00 
0.000000e+00   1.798615e-01   1.659996e+00 
0.000000e+00   1.921320e-01   1.659996e+00 
0.000000e+00   1.985922e-01   1.659996e+00 
0.000000e+00   2.052836e-01   1.659996e+00 
0.000000e+00   2.194129e-01   1.659996e+00 
0.000000e+00   2.268813e-01   1.659996e+00 
0.000000e+00   2.427195e-01   1.659996e+00 
0.000000e+00   2.511356e-01   1.659996e+00 
0.000000e+00   2.599203e-01   1.659996e+00 
0.000000e+00   2.787383e-01   1.659996e+00 
0.000000e+00   2.888606e-01   1.659996e+00 
0.000000e+00   2.995334e-01   1.659996e+00 
0.000000e+00   3.108290e-01   1.659996e+00 
0.000000e+00   3.356724e-01   1.659996e+00 
0.000000e+00   3.494814e-01   1.659996e+00 
0.000000e+00   3.644590e-01   1.659996e+00 
0.000000e+00   3.808693e-01   1.659996e+00 
0.000000e+00   3.990826e-01   1.659996e+00 
2.283992e-01   8.900381e-03   1.430898e+00 
2.265486e-01   1.120492e-02   1.432668e+00 
2.265486e-01   1.120492e-02   1.432668e+00 
2.265486e-01   1.120492e-02   1.432668e+00 
2.265486e-01   1.120492e-02   1.432668e+00 
2.265486e-01   1.120492e-02   1.432668e+00 
2.251707e-01   1.410615e-02   1.433939e+00 
2.251707e-01   1.410615e-02   1.433939e+00 
2.251707e-01   1.410615e-02   1.433939e+00 
2.251707e-01   1.410615e-02   1.433939e+00 
2.240877e-01   1.775850e-02   1.434938e+00 
2.240877e-01   1.775850e-02   1.434938e+00 
2.240877e-01   1.775850e-02   1.434938e+00 
2.240877e-01   1.775850e-02   1.434938e+00 
2.240877e-01   1.775850e-02   1.434938e+00 
2.232559e-01   2.234439e-02   1.435710e+00 
2.232559e-01   2.234439e-02   1.435710e+00 
2.232559e-01   2.234439e-02   1.435710e+00 
2.232559e-01   2.234439e-02   1.435710e+00 
2.232559e-01   2.234439e-02   1.435710e+00 
2.226992e-01   2.774042e-02   1.436209e+00 
2.226992e-01   2.774042e-02   1.436209e+00 
2.226992e-01   2.774042e-02   1.436209e+00 
2.226992e-01   2.774042e-02   1.436209e+00 
2.224714e-01   3.227383e-02   1.436390e+00 
2.224714e-01   3.227383e-02   1.436390e+00 
2.224714e-01   3.227383e-02   1.436390e+00 
2.223947e-01   3.556448e-02   1.436436e+00 
2.223624e-01   3.828064e-02   1.436436e+00 
2.223624e-01   3.828064e-02   1.436436e+00 
2.223428e-01   4.070699e-02   1.436481e+00 
2.223233e-01   4.297061e-02   1.436481e+00 
2.222988e-01   4.513887e-02   1.436481e+00 
2.222669e-01   4.725218e-02   1.436527e+00 
2.222262e-01   4.933710e-02   1.436572e+00 
2.221770e-01   5.141236e-02   1.436572e+00 
2.221163e-01   5.349195e-02   1.436617e+00 
2.220499e-01   5.558680e-02   1.436708e+00 
2.219120e-01   5.985663e-02   1.436799e+00 
2.218491e-01   6.204570e-02   1.436890e+00 
2.217970e-01   6.427893e-02   1.436935e+00 
2.217429e-01   6.889898e-02   1.436981e+00 
2.217453e-01   7.129553e-02   1.436981e+00 
2.217659e-01   7.375587e-02   1.436935e+00 
2.218406e-01   7.888541e-02   1.436844e+00 
2.218788e-01   8.156313e-02   1.436844e+00 
2.219059e-01   8.432174e-02   1.436799e+00 
2.219010e-01   9.009814e-02   1.436799e+00 
2.218649e-01   9.312418e-02   1.436844e+00 
2.217469e-01   9.947255e-02   1.436935e+00 
2.216852e-01   1.028031e-01   1.436981e+00 
2.216191e-01   1.097978e-01   1.437071e+00 
2.216306e-01   1.134703e-01   1.437071e+00 
2.216685e-01   1.172652e-01   1.437026e+00 
2.217644e-01   1.252394e-01   1.436935e+00 
2.217882e-01   1.294275e-01   1.436890e+00 
2.217408e-01   1.382286e-01   1.436935e+00 
2.216878e-01   1.428512e-01   1.436981e+00 
2.216414e-01   1.476284e-01   1.437026e+00 
2.216297e-01   1.576682e-01   1.437026e+00 
2.216633e-01   1.629425e-01   1.437026e+00 
2.217157e-01   1.740319e-01   1.436935e+00 
2.217029e-01   1.798615e-01   1.436981e+00 
2.216375e-01   1.921320e-01   1.437026e+00 
2.216286e-01   1.985922e-01   1.437026e+00 
2.216449e-01   2.052836e-01   1.437026e+00 
2.216755e-01   2.194129e-01   1.436981e+00 
2.216617e-01   2.268813e-01   1.437026e+00 
2.216337e-01   2.427195e-01   1.437026e+00 
2.216434e-01   2.511356e-01   1.437026e+00 
2.216531e-01   2.599203e-01   1.437026e+00 
2.216382e-01   2.787383e-01   1.437026e+00 
2.216349e-01   2.888606e-01   1.437026e+00 
2.216389e-01   2.995334e-01   1.437026e+00 
2.216406e-01   3.108290e-01   1.437026e+00 
2.216324e-01   3.356724e-01   1.437026e+00 
2.216347e-01   3.494814e-01   1.437026e+00 
2.216322e-01   3.644590e-01   1.437026e+00 
2.216301e-01   3.808693e-01   1.437026e+00 
2.216302e-01   3.990826e-01   1.437026e+00 
