k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.5999972 222.00148 98.865802 299.33597 132.70897 492.72407 262.94002 952.89404 704.53543
0.60626791 219.97833 93.886642 292.72597 126.13575 474.41587 233.471 917.24523 699.86972
0.61254696 213.5989 85.747032 291.8891 122.24386 472.59775 214.43361 884.49594 683.59954
0.61884777 210.55957 80.662047 279.78075 131.28301 462.04091 236.97231 890.39217 654.01912
0.62513106 206.55424 86.147494 279.2061 120.88836 455.11636 222.22055 860.66092 671.46737
0.63140275 202.3423 82.268087 271.06601 119.91676 451.81548 205.80474 827.48493 603.76898
0.63770036 199.40659 80.427919 262.66994 114.53335 435.70003 203.07898 817.02169 603.93381
0.64398578 196.16396 77.375612 264.16636 110.76798 431.16039 183.44916 793.05668 559.81549
0.65026854 189.01323 71.152517 256.37188 106.529 425.69584 192.2232 775.34752 606.46088
0.65655861 186.98928 67.338748 254.90692 102.67131 413.14712 196.50334 736.74744 611.31763
0.66283693 184.89248 71.953499 246.74202 101.82057 408.62797 204.6319 726.94779 610.77305
0.66911854 181.16875 68.670125 243.57016 102.1986 398.92043 172.09826 727.45748 554.05272
0.67540702 177.339 62.4401 238.5272 92.995273 390.91496 183.62587 692.86874 471.37607
0.68168355 175.61849 69.223356 236.69935 89.485281 382.59056 191.77673 663.66434 556.03987
0.68795925 171.24215 58.451634 233.49337 93.504267 379.95416 169.80634 683.71005 547.56991
0.69423443 166.93774 59.883349 230.11046 84.847116 372.92432 163.35918 660.09763 543.31325
0.70051754 166.60156 53.828734 225.75457 85.728705 369.40918 165.40993 608.91659 477.03005
0.7068125 163.69588 55.694066 221.40421 85.532571 358.04658 167.3822 597.55038 479.9537
0.7131019 159.54243 50.127674 216.64447 82.422327 356.75655 160.89189 597.15293 482.47689
0.71939183 160.51486 54.650051 211.07895 84.169457 347.15943 168.35448 574.44018 386.65022
0.72568338 156.54358 49.92846 212.20689 74.90469 337.71499 157.55429 557.36387 469.9557
0.73196527 153.9327 51.323824 206.75484 79.311235 333.21982 160.33259 558.01603 441.10583
